DATETIMEDATA,PREDICTION_PM25,PREDICTION_WD
2024-03-09,20.294541239289185,128.96944888143443
2024-03-10,18.60169433538331,133.62249668831512
2024-03-11,18.330297382452056,134.5286062148386
2024-03-12,18.256412390171004,133.60840310119576
2024-03-13,18.22597455454351,134.84451985736067
2024-03-14,18.125535978257304,134.57957906362063
2024-03-15,18.143841392671565,135.02693082869777
2024-03-16,18.025460556488333,134.69060429328132
2024-03-17,17.90074901659317,133.44572394940528
2024-03-18,17.72411326815313,131.52024328716382
2024-03-19,17.709313209855022,130.7058318805153
2024-03-20,17.824959350341068,132.3046128876149
2024-03-21,17.968406136872076,134.75716089858383
2024-03-22,17.746970168798764,135.37076491624154
2024-03-23,17.950790558066913,134.9121464959667
2024-03-24,17.948548185220353,132.81848722597724
2024-03-25,18.09410836017312,134.28604215092463
2024-03-26,18.099158682423816,136.91580432408813
2024-03-27,18.097561256371087,137.95452227833067
2024-03-28,18.085485991541383,137.0972008833116
2024-03-29,18.039263180286337,135.9016507930373
2024-03-30,18.027392117490702,135.6325538885686
2024-03-31,17.93015708955689,135.31601513329343
2024-04-01,17.936906446016227,135.22219098419552
2024-04-02,17.817434496908586,135.1197748376688
2024-04-03,17.894463656980218,135.4607315968641
2024-04-04,17.749779505935095,135.1755820558176
2024-04-05,17.907850041249528,133.5117360911297
2024-04-06,17.949929300972176,136.12860694824317
2024-04-07,18.002259415734365,136.19188939635234
2024-04-08,17.87406956116255,136.07587173455252
2024-04-09,18.013737283270135,135.95241674835535
2024-04-10,18.109701830211,117.02000815056222
2024-04-11,18.125906251644896,135.85708639080278
2024-04-12,18.04778561953797,136.40295160980574
