DATETIMEDATA,PREDICTION_PM25
2024-03-09,20.510273619164877
2024-03-10,18.696977277273785
2024-03-11,18.390378976025126
2024-03-12,18.290677811909823
2024-03-13,18.31678051460379
2024-03-14,18.0996792141736
2024-03-15,18.120354547774472
2024-03-16,18.018166340588277
2024-03-17,17.858143832564355
2024-03-18,17.646906817593543
2024-03-19,17.729462042728745
2024-03-20,17.840602017666082
2024-03-21,18.240129434859114
2024-03-22,17.914448967585063
2024-03-23,17.8826634538345
2024-03-24,17.844129671228334
2024-03-25,18.123893317686065
2024-03-26,18.090894211998407
2024-03-27,18.10836974484734
2024-03-28,18.04540756821912
2024-03-29,17.961641479578997
2024-03-30,18.02217255773161
2024-03-31,17.82059009006294
2024-04-01,17.873271516847726
2024-04-02,17.787544748244667
2024-04-03,17.820329200503842
2024-04-04,17.675015846159592
2024-04-05,17.667543601328738
2024-04-06,17.940516549579147
2024-04-07,18.009374516662916
2024-04-08,17.82631264235923
2024-04-09,17.974111761922355
2024-04-10,17.83737471900011
2024-04-11,18.093545150119727
2024-04-12,17.99353666223084
