DATETIMEDATA,PM25,Wind Direction
2024-03-09,20.51027361916488,128.77930773914696
2024-03-10,18.696977277273785,132.9687452059852
2024-03-11,18.39037897602513,131.9933725763427
2024-03-12,18.290677811909823,132.79236007098305
2024-03-13,18.31678051460379,132.21250550364536
2024-03-14,18.0996792141736,133.2710238491569
2024-03-15,18.120354547774472,132.98071484950563
2024-03-16,18.01816634058828,133.82585675147612
2024-03-17,17.858143832564355,134.52215301580688
2024-03-18,17.646906817593543,134.95406612711747
2024-03-19,17.729462042728745,134.58616065733835
2024-03-20,17.840602017666082,134.5437814969418
2024-03-21,18.240129434859117,132.76326675884414
2024-03-22,17.914448967585063,133.87595458451656
2024-03-23,17.8826634538345,134.34209469013126
2024-03-24,17.844129671228334,134.54021954005634
2024-03-25,18.123893317686065,133.51871976857458
2024-03-26,18.090894211998407,133.3797807175754
2024-03-27,18.10836974484734,133.23910764091502
2024-03-28,18.04540756821912,133.47070724513392
2024-03-29,17.961641479578997,133.92011616739333
2024-03-30,18.02217255773161,133.96674268114802
2024-03-31,17.82059009006294,134.43995467833471
2024-04-01,17.873271516847726,133.9524218102695
2024-04-02,17.787544748244667,134.47766440474737
2024-04-03,17.820329200503842,134.4849474981337
2024-04-04,17.675015846159592,134.8890114550966
2024-04-05,17.667543601328738,135.17763198842485
2024-04-06,17.940516549579147,133.57900738166407
2024-04-07,18.009374516662916,133.60438403220584
2024-04-08,17.82631264235923,134.17589210908983
2024-04-09,17.974111761922355,133.14914772075716
2024-04-10,17.83737471900011,133.3997462314733
2024-04-11,18.093545150119727,131.40357047510292
2024-04-12,17.99353666223084,132.29437101187017
